"ComicId","ComicTitle","SourcePath","LegacyLqRoot","ChapterId","GlobalOrder","PageId","PageNumber","HqPath","TargetLqPath","LegacyLqFile","LegacyLqSize","Status"
"37","[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:/games/comics/h_photograph/单本/黑白/[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:\games\comics\l_photograph\单本\黑白\[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","7","0","2599","1","37/0/001_cover.jpg","37/0/001_cover.webp","","0","MISSING"
"37","[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:/games/comics/h_photograph/单本/黑白/[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:\games\comics\l_photograph\单本\黑白\[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","7","0","2600","2","37/0/002_img0001.jpg","37/0/002_img0001.webp","","0","MISSING"
"37","[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:/games/comics/h_photograph/单本/黑白/[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:\games\comics\l_photograph\单本\黑白\[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","7","0","2601","3","37/0/003_img0002.jpg","37/0/003_img0002.webp","","0","MISSING"
"37","[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:/games/comics/h_photograph/单本/黑白/[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:\games\comics\l_photograph\单本\黑白\[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","7","0","2602","4","37/0/004_img0003.jpg","37/0/004_img0003.webp","","0","MISSING"
"37","[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:/games/comics/h_photograph/单本/黑白/[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:\games\comics\l_photograph\单本\黑白\[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","7","0","2603","5","37/0/005_img0004.jpg","37/0/005_img0004.webp","","0","MISSING"
"37","[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:/games/comics/h_photograph/单本/黑白/[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:\games\comics\l_photograph\单本\黑白\[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","7","0","2604","6","37/0/006_img0005.jpg","37/0/006_img0005.webp","","0","MISSING"
"37","[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:/games/comics/h_photograph/单本/黑白/[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:\games\comics\l_photograph\单本\黑白\[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","7","0","2605","7","37/0/007_img0006.jpg","37/0/007_img0006.webp","","0","MISSING"
"37","[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:/games/comics/h_photograph/单本/黑白/[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:\games\comics\l_photograph\单本\黑白\[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","7","0","2606","8","37/0/008_img0007.jpg","37/0/008_img0007.webp","","0","MISSING"
"37","[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:/games/comics/h_photograph/单本/黑白/[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:\games\comics\l_photograph\单本\黑白\[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","7","0","2607","9","37/0/009_img0008.jpg","37/0/009_img0008.webp","","0","MISSING"
"37","[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:/games/comics/h_photograph/单本/黑白/[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","F:\games\comics\l_photograph\单本\黑白\[岩崎ユウキ] 閲覧不能 [中国翻訳] [無修正] [DL版]","7","0","2608","10","37/0/010_img0009.jpg","37/0/010_img0009.webp","","0","MISSING"
